"Date","Dividends"
"2025-05-12","0.26"
"2025-02-10","0.25"
"2024-11-08","0.25"
"2024-08-12","0.25"
"2024-05-10","0.25"
"2024-02-09","0.24"
"2023-11-10","0.24"
"2023-08-11","0.24"
"2023-05-12","0.24"
"2023-02-10","0.23"
"2022-11-04","0.23"
"2022-08-05","0.23"
"2022-05-06","0.23"
"2022-02-04","0.22"
"2021-11-05","0.22"
"2021-08-06","0.22"
"2021-05-07","0.22"
"2021-02-05","0.205"
"2020-11-06","0.205"
"2020-08-07","0.82"
"2020-05-08","0.82"
"2020-02-07","0.77"
"2019-11-07","0.77"
"2019-08-09","0.77"
"2019-05-10","0.77"
"2019-02-08","0.73"
"2018-11-08","0.73"
"2018-08-10","0.73"
"2018-05-11","0.73"
"2018-02-09","0.63"
"2017-11-10","0.63"
"2017-08-10","0.63"
"2017-05-11","0.63"
"2017-02-09","0.57"
"2016-11-03","0.57"
"2016-08-04","0.57"
"2016-05-05","0.57"
"2016-02-04","0.52"
"2015-11-05","0.52"
"2015-08-06","0.52"
"2015-05-07","0.52"
"2015-02-05","0.47"
"2014-11-06","0.47"
"2014-08-07","0.47"
"2014-05-08","3.29"
"2014-02-06","3.05"
"2013-11-06","3.05"
"2013-08-08","3.05"
"2013-02-07","2.65"
