Date,AAPL,AMZN,GOOGL,MSFT,TSLA,NVDA,META
6/2/2025,$201.70 ,$206.65 ,$169.03 ,$461.97 ,$342.69 ,$137.38 ,$670.90 
5/30/2025,$200.85 ,$205.01 ,$171.74 ,$460.36 ,$346.46 ,$135.13 ,$647.49 
5/29/2025,$199.95 ,$205.70 ,$171.86 ,$458.68 ,$358.43 ,$139.19 ,$645.05 
5/28/2025,$200.42 ,$204.72 ,$172.36 ,$457.36 ,$356.90 ,$134.81 ,$643.58 
5/27/2025,$200.21 ,$206.02 ,$172.90 ,$460.69 ,$362.89 ,$135.50 ,$642.32 
5/23/2025,$195.27 ,$200.99 ,$168.47 ,$450.18 ,$339.34 ,$131.29 ,$627.06 
5/22/2025,$201.36 ,$203.10 ,$170.87 ,$454.86 ,$341.04 ,$132.83 ,$636.57 
5/21/2025,$202.09 ,$201.12 ,$168.56 ,$452.57 ,$334.62 ,$131.80 ,$635.50 
5/20/2025,$206.86 ,$204.07 ,$163.98 ,$458.17 ,$343.82 ,$134.38 ,$637.10 
5/19/2025,$208.78 ,$206.16 ,$166.54 ,$458.87 ,$342.09 ,$135.57 ,$640.43 
5/16/2025,$211.26 ,$205.59 ,$166.19 ,$454.27 ,$349.98 ,$135.40 ,$640.34 
5/15/2025,$211.45 ,$205.17 ,$163.96 ,$453.13 ,$342.82 ,$134.83 ,$643.88 
5/14/2025,$212.33 ,$210.25 ,$165.37 ,$452.94 ,$347.68 ,$135.34 ,$659.36 
5/13/2025,$212.93 ,$211.37 ,$159.53 ,$449.14 ,$334.07 ,$129.93 ,$656.03 
5/12/2025,$210.79 ,$208.64 ,$158.46 ,$449.26 ,$318.38 ,$123.00 ,$639.43 
5/9/2025,$198.53 ,$193.06 ,$152.75 ,$438.73 ,$298.26 ,$116.65 ,$592.49 
5/8/2025,$197.49 ,$192.08 ,$154.28 ,$438.17 ,$284.82 ,$117.37 ,$598.01 
5/7/2025,$196.25 ,$188.71 ,$151.38 ,$433.35 ,$276.22 ,$117.06 ,$596.81 
5/6/2025,$198.51 ,$185.01 ,$163.23 ,$433.31 ,$275.35 ,$113.54 ,$587.31 
5/5/2025,$198.89 ,$186.35 ,$164.21 ,$436.17 ,$280.26 ,$113.82 ,$599.27 
5/2/2025,$205.35 ,$189.98 ,$164.03 ,$435.28 ,$287.21 ,$114.50 ,$597.02 
5/1/2025,$213.32 ,$190.20 ,$161.30 ,$425.40 ,$280.52 ,$111.61 ,$572.21 
4/30/2025,$212.50 ,$184.42 ,$158.80 ,$395.26 ,$282.16 ,$108.92 ,$549.00 
4/29/2025,$211.21 ,$187.39 ,$160.16 ,$394.04 ,$292.03 ,$109.02 ,$554.44 
4/28/2025,$210.14 ,$187.70 ,$160.61 ,$391.16 ,$285.88 ,$108.73 ,$549.74 
4/25/2025,$209.28 ,$188.99 ,$161.96 ,$391.85 ,$284.95 ,$111.01 ,$547.27 
4/24/2025,$208.37 ,$186.54 ,$159.28 ,$387.30 ,$259.51 ,$106.43 ,$533.15 
4/23/2025,$204.60 ,$180.60 ,$155.35 ,$374.39 ,$250.74 ,$102.71 ,$520.27 
4/22/2025,$199.74 ,$173.18 ,$151.47 ,$366.82 ,$237.97 ,$98.89 ,$500.28 
4/21/2025,$193.16 ,$167.32 ,$147.67 ,$359.12 ,$227.50 ,$96.91 ,$484.66 
4/17/2025,$196.98 ,$172.61 ,$151.16 ,$367.78 ,$241.37 ,$101.49 ,$501.48 
4/16/2025,$194.27 ,$174.33 ,$153.33 ,$371.61 ,$241.55 ,$104.49 ,$502.31 
4/15/2025,$202.14 ,$179.59 ,$156.31 ,$385.73 ,$254.11 ,$112.20 ,$521.52 
4/14/2025,$202.52 ,$182.12 ,$159.07 ,$387.81 ,$252.35 ,$110.71 ,$531.48 
4/11/2025,$198.15 ,$184.87 ,$157.14 ,$388.45 ,$252.31 ,$110.93 ,$543.57 
4/10/2025,$190.42 ,$181.22 ,$152.82 ,$381.35 ,$252.40 ,$107.57 ,$546.29 
4/9/2025,$198.85 ,$191.10 ,$158.71 ,$390.49 ,$272.20 ,$114.33 ,$585.77 
4/8/2025,$172.42 ,$170.66 ,$144.70 ,$354.56 ,$221.86 ,$96.30 ,$510.45 
4/7/2025,$181.46 ,$175.26 ,$146.75 ,$357.86 ,$233.29 ,$97.64 ,$516.25 
4/4/2025,$188.38 ,$171.00 ,$145.60 ,$359.84 ,$239.43 ,$94.31 ,$504.73 
4/3/2025,$203.19 ,$178.41 ,$150.72 ,$373.11 ,$267.28 ,$101.80 ,$531.62 
4/2/2025,$223.89 ,$196.01 ,$157.04 ,$382.14 ,$282.76 ,$110.42 ,$583.93 
4/1/2025,$223.19 ,$192.17 ,$157.07 ,$382.19 ,$268.46 ,$110.15 ,$586.00 
3/31/2025,$222.13 ,$190.26 ,$154.64 ,$375.39 ,$259.16 ,$108.38 ,$576.36 
3/28/2025,$217.90 ,$192.72 ,$154.33 ,$378.80 ,$263.55 ,$109.67 ,$576.74 
3/27/2025,$223.85 ,$201.36 ,$162.24 ,$390.58 ,$273.13 ,$111.43 ,$602.58 
3/26/2025,$221.53 ,$201.13 ,$165.06 ,$389.97 ,$272.06 ,$113.76 ,$610.98 
3/25/2025,$223.75 ,$205.71 ,$170.56 ,$395.16 ,$288.14 ,$120.69 ,$626.31 
3/24/2025,$220.73 ,$203.26 ,$167.68 ,$393.08 ,$278.39 ,$121.41 ,$618.85 
3/21/2025,$218.27 ,$196.21 ,$163.99 ,$391.26 ,$248.71 ,$117.70 ,$596.25 
3/20/2025,$214.10 ,$194.95 ,$162.80 ,$386.84 ,$236.26 ,$118.53 ,$586.00 
3/19/2025,$215.24 ,$195.54 ,$163.89 ,$387.82 ,$235.86 ,$117.52 ,$584.06 
3/18/2025,$212.69 ,$192.82 ,$160.67 ,$383.52 ,$225.31 ,$115.43 ,$582.36 
3/17/2025,$214.00 ,$195.74 ,$164.29 ,$388.70 ,$238.01 ,$119.53 ,$604.90 
3/14/2025,$213.49 ,$197.95 ,$165.49 ,$388.56 ,$249.98 ,$121.67 ,$607.60 
3/13/2025,$209.68 ,$193.89 ,$162.76 ,$378.77 ,$240.68 ,$115.58 ,$590.64 
3/12/2025,$216.98 ,$198.89 ,$167.11 ,$383.27 ,$248.09 ,$115.74 ,$619.56 
3/11/2025,$220.84 ,$196.59 ,$164.04 ,$380.45 ,$230.58 ,$108.76 ,$605.71 
